text,category
remind me to pay the electricity bill,task
explain the theory of relativity,generic
email the newsletter draft to the team,email
play jazz music,spotify
tell me the temperature for the weekend,weather
compose a congratulatory email for a colleague,email
is it cloudy today,weather
add a meeting at noon,task
explain how vaccines work,generic
play relaxing music for studying,spotify
start the party hits playlist,spotify
what's the tallest building in the world,generic
will it snow tomorrow,weather
play the new song by coldplay,spotify
play the album by adele,spotify
shuffle the classic rock playlist,spotify
ask for a project update via email,email
remind me to call john tomorrow,task
what is quantum computing,generic
tell me about the mars rover,generic
is it sunny in miami right now,weather
how do solar panels generate electricity,generic
compose an email to the manager about the meeting changes,email
add yoga class to my monday routine,task
what is the humidity like outside,weather
put a car service on my schedule for friday,task
how hot is it outside right now,weather
remind me to buy groceries tomorrow,task
send a follow-up email to the client,email
describe the functions of the heart,generic
set a reminder for my anniversary,task
draft an email to customer support about my refund,email
listen to the live concert playlist,spotify
schedule a dentist appointment next wednesday,task
what's the forecast for next week,weather
start playing the workout playlist,spotify
shuffle my road trip songs,spotify
schedule a date night for saturday,task
how cold will it be tonight,weather
send a thank you email to my professor,email
what are the benefits of meditation,generic
do i need an umbrella for today,weather
give me a summary of world war 2,generic
email the HR about my leave application,email
send an inquiry to tech support,email
play top hits from 2020,spotify
send a greeting email to the new team member,email
is it going to rain today,weather
who won the last soccer world cup,generic
set an alarm for 7 am tomorrow,task
can you shuffle vibes,spotify
send an email to the dean of my school about how i'm struggling to get classes,email
what are my next 3 tasks,task
can you write me an email to my boss asking if i can get rehired,email
would you be able to set a task for 5 pm,task
could you tell me what the weather will be like over the next 4 days,weather
what's the weather like today,weather
outline the steps of baking a cake,generic
list the steps to cook spaghetti,generic
what will the weather be in 3 days,weather
i want to listen to tiktok made me do it,spotify
can you schedule a task for tomorrow at 8,task
would you mind sending an email to my friend asking when he'd like to hang out,email
can you recommend me a song,spotify
describe the life cycle of a butterfly,generic
what are some causes of climate change,generic
what are some tips for task management,generic
would you mind playing death bed,spotify
what's the weather like tomorrow,weather
i'd like to hear the weather report for the next 2 days,weather
what is the history of the internet,generic
can you explain solar panels,generic
id like to hear soda stream sky by powfu,spotify
what's the next task i have,task
can you play my favorite playlist,spotify
would you mind playing my playlist haribo,spotify
explain the principles of blockchain,generic
play my favorite playlist,spotify
hey if you aren't too busy could you open opera,launch
hey if you aren't too busy could you open apex legends,launch
hey if you aren't too busy could you open call of duty,launch
hey if you aren't too busy could you open the adobe photoshop app,launch
could you be a doll and start vlc music player,launch
open the windows settings,launch
do me a favor and open my file explorer,launch
please launch the uber app,launch
can you open lyft,launch
would you mind launching the duolingo app,launch
could you start adobe after effects,launch
hey can you launch the airbnb app,launch
start shopify,launch
do me a favor and fire up youtube,launch
do me a favor and fire up docker,launch
do me a favor and fire up blender,launch
would you mind to open netflix,launch
could you possibly start the steam application,launch
could you consider starting the zoom application,launch
would you mind starting the notepad application,launch
open amazon,launch
run logitch g hub,launch
launch adobe premiere pro,launch
run apple music application,launch
start onedrive,launch
open the slack app,launch
start hbo max,launch
is my tea too hot if i burnt my lip,generic
will it precipitate soon,weather
will there be any precipitation tomorrow,weather
whats the weather like right now,weather
is my tea too hot if i burned myself,generic
can you explain why my computer takes so long to launch,generic
they always play fair in games but not in business,generic
do cold calls really work for sales anymore,generic
why does my car run slower in the cold,generic
the novel starts off at a slow run but picks up quickly,generic
