text,category
remind me to pay the electricity bill,task
add a meeting at noon,task
remind me to call john tomorrow,task
add yoga class to my monday routine,task
put a car service on my schedule for friday,task
remind me to buy groceries tomorrow,task
set a reminder for my anniversary,task
schedule a dentist appointment next wednesday,task
schedule a date night for saturday,task
set an alarm for 7 am tomorrow,task
what are my next 3 tasks,task
would you be able to set a task for 5 pm,task
can you schedule a task for tomorrow at 8,task
what's the next task i have,task
add buy groceries to my to-do list,task
remind me to call mom at 5 pm,task
create a task to finish the project report,task
mark the laundry task as completed,task
set a reminder for my dentist appointment,task
add send birthday card to my tasks,task
remind me to water the plants every monday,task
create a task to review the budget,task
set a reminder to exercise at 7 pm,task
add book flight tickets to my to-do list,task
add wash the car to my to-do list,task
remind me to take out the trash,task
create a task to clean the house,task
mark the grocery shopping task as completed,task
set a reminder for my annual checkup,task
add plan the vacation to my tasks,task
remind me to send the report every friday,task
create a task to finish reading the book,task
set a reminder to call the bank,task
add schedule a meeting with the team to my to-do list,task
add organize my desk to my tasks,task
remind me to pay the rent on the first,task
create a task to update my resume,task
set a reminder to check the mail,task
add write a blog post to my to-do list,task
add fix the leaking faucet to my tasks,task
remind me to check the tire pressure monthly,task
create a task to backup my computer,task
set a reminder to go for a run at 6 AM,task
add buy a new phone to my to-do list,task
add plan the birthday party to my tasks,task
remind me to review the contract,task
create a task to design the new logo,task
set a reminder to meditate daily,task
add paint the living room to my to-do list,task
add clean the garage to my tasks,task
remind me to pick up the dry cleaning,task
create a task to call the electrician,task
set a reminder to visit grandma on sunday,task
remind me to pay the electricity bill,task
add a meeting at noon,task
remind me to call john tomorrow,task
add yoga class to my monday routine,task
put a car service on my schedule for friday,task
remind me to buy groceries tomorrow,task
set a reminder for my anniversary,task
schedule a dentist appointment next wednesday,task
schedule a date night for saturday,task
set an alarm for 7 am tomorrow,task
would you be able to set a task for 5 pm,task
can you schedule a task for tomorrow at 8,task
add buy groceries to my to-do list,task
remind me to call mom at 5 pm,task
would you be able to create a task to finish the project report,task
set a reminder for my dentist appointment,task
add send birthday card to my tasks,task
remind me to water the plants every monday,task
would you mind creating a task to review the budget,task
would you mind setting a reminder to exercise at 7 pm,task
add book flight tickets to my to-do list,task
add wash the car to my to-do list,task
remind me to take out the trash,task
would you create a task to clean the house,task
mark the grocery shopping task as completed,task
would you be able to set a reminder for my annual checkup,task
add plan the vacation to my tasks,task
remind me to send the report every friday,task
create a task to finish reading the book,task
could you set a reminder to call the bank,task
add schedule a meeting with the team to my to-do list,task
add organize my desk to my tasks,task
remind me to pay the rent on the first,task
create a task to update my resume,task
can you set a reminder to check the mail,task
add write a blog post to my to-do list,task
can you add fix the leaking faucet to my tasks,task
would you be able to remind me to check the tire pressure monthly,task
could you create a task to backup my computer,task
set a reminder to go for a run at 6 AM,task
add buy a new phone to my to-do list,task
add plan the birthday party to my tasks,task
remind me to review the contract,task
create a task to design the new logo,task
set a reminder to meditate daily,task
can you add paint the living room to my to-do list,task
can you add clean the garage to my tasks,task
would you mind reminding me to pick up the dry cleaning,task
create a task to call the electrician,task
set a reminder to visit grandma on sunday,task
What time is my weekly team update,task
Are there any reminders for meetings with clients next Tuesday,task
What are my reminders for taking medication,task
Can you show me my tasks related to the home renovation project,task
What reminders do I have set for my yoga classes,task
Can you show me my tasks related to the home renovation project,task
What reminders do I have set for my yoga classes,task
How many tasks are scheduled for this weekend,task
Do I have any reminders to call suppliers this week,task
Can you show me the tasks I have due for the marketing campaign,task
what are my next 3 tasks,task
what tasks do i have,task
what's the next task i have,task
how many tasks do i have today,task
what tasks do i have today,task
what are my tasks for today,task
what are the tasks i have today,task
what are my upcoming tasks,task
what tasks do i have to do today,task
do i have any tasks later,task
do i have any tasks coming up later,task
do i have anything to be reminded about today,task
when is my next doctors appointment,task
what time do i have to be at my moms birthday,task
when is my next reservation for maestros dinner,task
when am i scheduled to meet with my real estate agent,task
when am i scheduled to meet with my realtor,task
what tasks do i have for tomorrow,task
what reminders do i have for tomorrow,task
what is my next reminder,task
Can you tell me what my reminders for next week are,task
What do I need to remember for this weekend,task
Are there any reminders set for my anniversary,task
Show me the reminders for the kids school events this month,task
Do I have reminders set for any upcoming holidays,task
Can you list the reminders I have for car maintenance,task
What reminders do I have about project deadlines,task
